id,name,code,provinsi_id/id
1101,SIMEULUE,1101,11
1102,ACEH SINGKIL,1102,11
1103,ACEH SELATAN,1103,11
1104,ACEH TENGGARA,1104,11
1105,ACEH TIMUR,1105,11
1106,ACEH TENGAH,1106,11
1107,ACEH BARAT,1107,11
1108,ACEH BESAR,1108,11
1109,PIDIE,1109,11
1110,BIREUEN,1110,11
1111,ACEH UTARA,1111,11
1112,ACEH BARAT DAYA,1112,11
1113,GAYO LUES,1113,11
1114,ACEH TAMIANG,1114,11
1115,NAGAN RAYA,1115,11
1116,ACEH JAYA,1116,11
1117,BENER MERIAH,1117,11
1118,PIDIE JAYA,1118,11
1171,BANDA ACEH,1171,11
1172,SABANG,1172,11
1173,LANGSA,1173,11
1174,LHOKSEUMAWE,1174,11
1175,SUBULUSSALAM,1175,11
1201,NIAS,1201,12
1202,MANDAILING NATAL,1202,12
1203,TAPANULI SELATAN,1203,12
1204,TAPANULI TENGAH,1204,12
1205,TAPANULI UTARA,1205,12
1206,TOBA SAMOSIR,1206,12
1207,LABUHAN BATU,1207,12
1208,ASAHAN,1208,12
1209,SIMALUNGUN,1209,12
1210,DAIRI,1210,12
1211,KARO,1211,12
1212,DELI SERDANG,1212,12
1213,LANGKAT,1213,12
1214,NIAS SELATAN,1214,12
1215,HUMBANG HASUNDUTAN,1215,12
1216,PAKPAK BHARAT,1216,12
1217,SAMOSIR,1217,12
1218,SERDANG BEDAGAI,1218,12
1219,BATU BARA,1219,12
1220,PADANG LAWAS UTARA,1220,12
1221,PADANG LAWAS,1221,12
1222,LABUHAN BATU SELATAN,1222,12
1223,LABUHAN BATU UTARA,1223,12
1224,NIAS UTARA,1224,12
1225,NIAS BARAT,1225,12
1271,SIBOLGA,1271,12
1272,TANJUNG BALAI,1272,12
1273,PEMATANG SIANTAR,1273,12
1274,TEBING TINGGI,1274,12
1275,MEDAN,1275,12
1276,BINJAI,1276,12
1277,PADANGSIDIMPUAN,1277,12
1278,GUNUNGSITOLI,1278,12
1301,KEPULAUAN MENTAWAI,1301,13
1302,PESISIR SELATAN,1302,13
1303,SOLOK,1303,13
1304,SIJUNJUNG,1304,13
1305,TANAH DATAR,1305,13
1306,PADANG PARIAMAN,1306,13
1307,AGAM,1307,13
1308,LIMA PULUH KOTA,1308,13
1309,PASAMAN,1309,13
1310,SOLOK SELATAN,1310,13
1311,DHARMASRAYA,1311,13
1312,PASAMAN BARAT,1312,13
1371,PADANG,1371,13
1372,SOLOK,1372,13
1373,SAWAH LUNTO,1373,13
1374,PADANG PANJANG,1374,13
1375,BUKITTINGGI,1375,13
1376,PAYAKUMBUH,1376,13
1377,PARIAMAN,1377,13
1401,KUANTAN SINGINGI,1401,14
1402,INDRAGIRI HULU,1402,14
1403,INDRAGIRI HILIR,1403,14
1404,PELALAWAN,1404,14
1405,SIAK,1405,14
1406,KAMPAR,1406,14
1407,ROKAN HULU,1407,14
1408,BENGKALIS,1408,14
1409,ROKAN HILIR,1409,14
1410,KEPULAUAN MERANTI,1410,14
1471,PEKANBARU,1471,14
1473,DUMAI,1473,14
1501,KERINCI,1501,15
1502,MERANGIN,1502,15
1503,SAROLANGUN,1503,15
1504,BATANG HARI,1504,15
1505,MUARO JAMBI,1505,15
1506,TANJUNG JABUNG TIMUR,1506,15
1507,TANJUNG JABUNG BARAT,1507,15
1508,TEBO,1508,15
1509,BUNGO,1509,15
1571,JAMBI,1571,15
1572,SUNGAI PENUH,1572,15
1601,OGAN KOMERING ULU,1601,16
1602,OGAN KOMERING ILIR,1602,16
1603,MUARA ENIM,1603,16
1604,LAHAT,1604,16
1605,MUSI RAWAS,1605,16
1606,MUSI BANYUASIN,1606,16
1607,BANYU ASIN,1607,16
1608,OGAN KOMERING ULU SELATAN,1608,16
1609,OGAN KOMERING ULU TIMUR,1609,16
1610,OGAN ILIR,1610,16
1611,EMPAT LAWANG,1611,16
1612,PENUKAL ABAB LEMATANG ILIR,1612,16
1613,MUSI RAWAS UTARA,1613,16
1671,PALEMBANG,1671,16
1672,PRABUMULIH,1672,16
1673,PAGAR ALAM,1673,16
1674,LUBUKLINGGAU,1674,16
1701,BENGKULU SELATAN,1701,17
1702,REJANG LEBONG,1702,17
1703,BENGKULU UTARA,1703,17
1704,KAUR,1704,17
1705,SELUMA,1705,17
1706,MUKOMUKO,1706,17
1707,LEBONG,1707,17
1708,KEPAHIANG,1708,17
1709,BENGKULU TENGAH,1709,17
1771,BENGKULU,1771,17
1801,LAMPUNG BARAT,1801,18
1802,TANGGAMUS,1802,18
1803,LAMPUNG SELATAN,1803,18
1804,LAMPUNG TIMUR,1804,18
1805,LAMPUNG TENGAH,1805,18
1806,LAMPUNG UTARA,1806,18
1807,WAY KANAN,1807,18
1808,TULANGBAWANG,1808,18
1809,PESAWARAN,1809,18
1810,PRINGSEWU,1810,18
1811,MESUJI,1811,18
1812,TULANG BAWANG BARAT,1812,18
1813,PESISIR BARAT,1813,18
1871,BANDAR LAMPUNG,1871,18
1872,METRO,1872,18
1901,BANGKA,1901,19
1902,BELITUNG,1902,19
1903,BANGKA BARAT,1903,19
1904,BANGKA TENGAH,1904,19
1905,BANGKA SELATAN,1905,19
1906,BELITUNG TIMUR,1906,19
1971,PANGKAL PINANG,1971,19
2101,KARIMUN,2101,21
2102,BINTAN,2102,21
2103,NATUNA,2103,21
2104,LINGGA,2104,21
2105,KEPULAUAN ANAMBAS,2105,21
2171,BATAM,2171,21
2172,TANJUNG PINANG,2172,21
3101,KEPULAUAN SERIBU,3101,31
3171,JAKARTA SELATAN,3171,31
3172,JAKARTA TIMUR,3172,31
3173,JAKARTA PUSAT,3173,31
3174,JAKARTA BARAT,3174,31
3175,JAKARTA UTARA,3175,31
3201,BOGOR,3201,32
3202,SUKABUMI,3202,32
3203,CIANJUR,3203,32
3204,BANDUNG,3204,32
3205,GARUT,3205,32
3206,TASIKMALAYA,3206,32
3207,CIAMIS,3207,32
3208,KUNINGAN,3208,32
3209,CIREBON,3209,32
3210,MAJALENGKA,3210,32
3211,SUMEDANG,3211,32
3212,INDRAMAYU,3212,32
3213,SUBANG,3213,32
3214,PURWAKARTA,3214,32
3215,KARAWANG,3215,32
3216,BEKASI,3216,32
3217,BANDUNG BARAT,3217,32
3218,PANGANDARAN,3218,32
3271,BOGOR,3271,32
3272,SUKABUMI,3272,32
3273,BANDUNG,3273,32
3274,CIREBON,3274,32
3275,BEKASI,3275,32
3276,DEPOK,3276,32
3277,CIMAHI,3277,32
3278,TASIKMALAYA,3278,32
3279,BANJAR,3279,32
3301,CILACAP,3301,33
3302,BANYUMAS,3302,33
3303,PURBALINGGA,3303,33
3304,BANJARNEGARA,3304,33
3305,KEBUMEN,3305,33
3306,PURWOREJO,3306,33
3307,WONOSOBO,3307,33
3308,MAGELANG,3308,33
3309,BOYOLALI,3309,33
3310,KLATEN,3310,33
3311,SUKOHARJO,3311,33
3312,WONOGIRI,3312,33
3313,KARANGANYAR,3313,33
3314,SRAGEN,3314,33
3315,GROBOGAN,3315,33
3316,BLORA,3316,33
3317,REMBANG,3317,33
3318,PATI,3318,33
3319,KUDUS,3319,33
3320,JEPARA,3320,33
3321,DEMAK,3321,33
3322,SEMARANG,3322,33
3323,TEMANGGUNG,3323,33
3324,KENDAL,3324,33
3325,BATANG,3325,33
3326,PEKALONGAN,3326,33
3327,PEMALANG,3327,33
3328,TEGAL,3328,33
3329,BREBES,3329,33
3371,MAGELANG,3371,33
3372,SURAKARTA,3372,33
3373,SALATIGA,3373,33
3374,SEMARANG,3374,33
3375,PEKALONGAN,3375,33
3376,TEGAL,3376,33
3401,KULON PROGO,3401,34
3402,BANTUL,3402,34
3403,GUNUNG KIDUL,3403,34
3404,SLEMAN,3404,34
3471,YOGYAKARTA,3471,34
3501,PACITAN,3501,35
3502,PONOROGO,3502,35
3503,TRENGGALEK,3503,35
3504,TULUNGAGUNG,3504,35
3505,BLITAR,3505,35
3506,KEDIRI,3506,35
3507,MALANG,3507,35
3508,LUMAJANG,3508,35
3509,JEMBER,3509,35
3510,BANYUWANGI,3510,35
3511,BONDOWOSO,3511,35
3512,SITUBONDO,3512,35
3513,PROBOLINGGO,3513,35
3514,PASURUAN,3514,35
3515,SIDOARJO,3515,35
3516,MOJOKERTO,3516,35
3517,JOMBANG,3517,35
3518,NGANJUK,3518,35
3519,MADIUN,3519,35
3520,MAGETAN,3520,35
3521,NGAWI,3521,35
3522,BOJONEGORO,3522,35
3523,TUBAN,3523,35
3524,LAMONGAN,3524,35
3525,GRESIK,3525,35
3526,BANGKALAN,3526,35
3527,SAMPANG,3527,35
3528,PAMEKASAN,3528,35
3529,SUMENEP,3529,35
3571,KEDIRI,3571,35
3572,BLITAR,3572,35
3573,MALANG,3573,35
3574,PROBOLINGGO,3574,35
3575,PASURUAN,3575,35
3576,MOJOKERTO,3576,35
3577,MADIUN,3577,35
3578,SURABAYA,3578,35
3579,BATU,3579,35
3601,PANDEGLANG,3601,36
3602,LEBAK,3602,36
3603,TANGERANG,3603,36
3604,SERANG,3604,36
3671,TANGERANG,3671,36
3672,CILEGON,3672,36
3673,SERANG,3673,36
3674,TANGERANG SELATAN,3674,36
5101,JEMBRANA,5101,51
5102,TABANAN,5102,51
5103,BADUNG,5103,51
5104,GIANYAR,5104,51
5105,KLUNGKUNG,5105,51
5106,BANGLI,5106,51
5107,KARANG ASEM,5107,51
5108,BULELENG,5108,51
5171,DENPASAR,5171,51
5201,LOMBOK BARAT,5201,52
5202,LOMBOK TENGAH,5202,52
5203,LOMBOK TIMUR,5203,52
5204,SUMBAWA,5204,52
5205,DOMPU,5205,52
5206,BIMA,5206,52
5207,SUMBAWA BARAT,5207,52
5208,LOMBOK UTARA,5208,52
5271,MATARAM,5271,52
5272,BIMA,5272,52
5301,SUMBA BARAT,5301,53
5302,SUMBA TIMUR,5302,53
5303,KUPANG,5303,53
5304,TIMOR TENGAH SELATAN,5304,53
5305,TIMOR TENGAH UTARA,5305,53
5306,BELU,5306,53
5307,ALOR,5307,53
5308,LEMBATA,5308,53
5309,FLORES TIMUR,5309,53
5310,SIKKA,5310,53
5311,ENDE,5311,53
5312,NGADA,5312,53
5313,MANGGARAI,5313,53
5314,ROTE NDAO,5314,53
5315,MANGGARAI BARAT,5315,53
5316,SUMBA TENGAH,5316,53
5317,SUMBA BARAT DAYA,5317,53
5318,NAGEKEO,5318,53
5319,MANGGARAI TIMUR,5319,53
5320,SABU RAIJUA,5320,53
5321,MALAKA,5321,53
5371,KUPANG,5371,53
6101,SAMBAS,6101,61
6102,BENGKAYANG,6102,61
6103,LANDAK,6103,61
6104,MEMPAWAH,6104,61
6105,SANGGAU,6105,61
6106,KETAPANG,6106,61
6107,SINTANG,6107,61
6108,KAPUAS HULU,6108,61
6109,SEKADAU,6109,61
6110,MELAWI,6110,61
6111,KAYONG UTARA,6111,61
6112,KUBU RAYA,6112,61
6171,PONTIANAK,6171,61
